year,state,rate,bracket
2020,Mississippi,3.00%,"$3,000"
2020,,4.00%,"$5,000"
2020,,5.00%,"$10,000"
2020,,,
2020,Missouri,1.50%,$105
2020,"(a, b, k, n, w)",2.00%,"$1,053"
2020,,2.50%,"$2,106"
2020,,3.00%,"$3,159"
2020,,3.50%,"$4,212"
2020,,4.00%,"$5,265"
2020,,4.50%,"$6,318"
2020,,5.00%,"$7,371"
2020,,5.40%,"$8,424"
2020,,,
2020,Montana,1.00%,$0
2020,"(b, k, ff)",2.00%,"$3,100"
2020,,3.00%,"$5,400"
2020,,4.00%,"$8,200"
2020,,5.00%,"$11,100"
2020,,6.00%,"$14,300"
2020,,6.90%,"$18,400"
2020,,,
2020,Nebraska,2.46%,$0
2020,"(i, n)",3.51%,"$3,290"
2020,,5.01%,"$19,700"
2020,,6.84%,"$31,750"
2020,,,
2020,Nevada,none,n.a.
2020,,,
2020,,5.00%,$0
2020,(gg),,
2020,,,
2020,New Jersey,1.40%,$0
2020,(a),1.75%,"$20,000"
2020,,3.50%,"$35,000"
2020,,5.53%,"$40,000"
2020,,6.37%,"$75,000"
2020,,8.97%,"$500,000"
2020,,10.75%,"$5,000,000"
2020,,,
2020,,,
2020,New Mexico,1.70%,$0
2020,,3.20%,"$5,500"
2020,,4.70%,"$11,000"
2020,,4.90%,"$16,000"
2020,,,
2020,New York,4.00%,$0
2020,"(a, j, n)",4.50%,"$8,500"
2020,,5.25%,"$11,700"
2020,,5.90%,"$13,900"
2020,,6.21%,"$21,400"
2020,,6.49%,"$80,650"
2020,,6.85%,"$215,400"
2020,,8.82%,"$1,077,550"
2020,,,
2020,North Carolina,5.25%,$0
2020,,,
2020,North Dakota,1.10%,$0
2020,"(k, p, w)",2.04%,"$39,450"
2020,,2.27%,"$95,500"
2020,,2.64%,"$199,250"
2020,,2.90%,"$433,200"
2020,,,
2020,Ohio,2.85%,"$21,750"
2020,"(a, hh)",3.33%,"$43,450"
2020,,3.80%,"$86,900"
2020,,4.41%,"$108,700"
2020,,4.80%,"$217,400"
2020,,,
2020,Oklahoma,0.50%,$0
2020,(n),1.00%,"$1,000"
2020,,2.00%,"$2,500"
2020,,3.00%,"$3,750"
2020,,4.00%,"$4,900"
2020,,5.00%,"$7,200"
2020,,,
2020,Oregon,4.75%,$0
2020,"(a, b, i, n, o, ii, dd)",6.75%,"$3,600"
2020,,8.75%,"$9,050"
2020,,9.90%,"$125,000"
2020,,,
2020,Pennsylvania,3.07%,$0
2020,(a),,
2020,,,
2020,Rhode Island,3.75%,$0
2020,"(e, dd, jj)",4.75%,"$65,250"
2020,,5.99%,"$148,350"
2020,,,
2020,South Carolina,0.00%,$0
2020,"(p, w, dd)",3.00%,"$3,070"
2020,,4.00%,"$6,150"
2020,,5.00%,"$9,230"
2020,,6.00%,"$12,310"
2020,,7.00%,"$15,400"
2020,,,
2020,South Dakota,none,n.a.
2020,,,
2020,Tennessee,1.00%,$0
2020,(gg),,
2020,,,
2020,Texas,none,n.a.
2020,,,
2020,Utah ,4.95%,$0
2020,"(kk, ll)",,
2020,,,
2020,Vermont,3.35%,$0
2020,"(k, mm)",6.60%,"$39,600"
2020,,7.60%,"$96,000"
2020,,8.75%,"$200,200"
2020,,,
2020,Virginia,2.00%,$0
2020,(n),3.00%,"$3,000"
2020,,5.00%,"$5,000"
2020,,5.75%,"$17,000"
2020,,,
2020,Washington,none,n.a.
2020,,,
2020,West Virginia,3.00%,$0
2020,"(a, n)",4.00%,"$10,000"
2020,,4.50%,"$25,000"
2020,,6.00%,"$40,000"
2020,,6.50%,"$60,000"
2020,,,
2020,Wisconsin,4.00%,$0
2020,"(n, dd, nn)",5.21%,"$11,970"
2020,,6.27%,"$23,930"
2020,,7.65%,"$263,480"
2020,,,
2020,Wyoming,none,n.a.
2020,,,
2020,,4.00%,$0
2020,(w),6.00%,"$10,000"
2020,,6.50%,"$40,000"
2020,,8.50%,"$60,000"
2020,,8.75%,"$350,000"
2020,,8.95%,"$1,000,000"
2020,,,
2020,"(a) Local income taxes are excluded. Eleven states have county- or city-level income taxes; the average rates expressed as a percentage of AGI within each jurisdiction are: 0.10% in Alabama; 0.19% in Delaware; 0.73% in Indiana; 0.11% in Iowa; 1.29% in Kentucky; 2.28% in Maryland; 0.17% in Michigan; 0.23% in Missouri; 1.49% in New York; 1.56% in Ohio; and 1.21% in Pennsylvania. In California, Colorado, Kansas, New Jersey, Oregon, and West Virginia, some jurisdictions have payroll taxes, flat-rate wage taxes, or interest and dividend income taxes. See Jared Walczak, “Local Income Taxes in 2019,” Tax Foundation, July 30, 2019, https://taxfoundation.org/local-income-taxes-2019/.",,
2020,(b) These states allow some or all of federal income tax paid to be deducted from state taxable income.,,
2020,"(c) For single taxpayers with AGI below $23,000, the standard deduction is $2,500. This standard deduction amount is reduced by $25 for every additional $500 of AGI, not to fall below $2,000. For Married Filing Joint (MFJ) taxpayers with AGI below $23,000, the standard deduction is $7,500. This standard deduction amount is reduced by $175 for every additional $500, not to fall below $4,000. For all taxpayers claiming a dependent with AGI of $20,000 or less, the dependent exemption is $1,000. This amount is reduced to $500 per dependent for taxpayers with AGI above $20,000 and equal to or less than $100,000. For taxpayers with over $100,000 AGI, the dependent exemption is $300 per dependent.",,
2019,"(b, f, gg)",4.00%,$500
2019,,5.00%,"$3,000"
2019,,,
2019,Alaska,none,n.a.
2019,,,
2019,Ariz.,2.59%,$0
2019,"(e, h)",3.34%,"$26,500"
2019,,4.17%,"$53,000"
2019,,4.50%,"$159,000"
2019,,,
2019,Ark.,0.90%,$0
2019,"(d, e, r, bb)",2.50%,"$4,500"
2019,,3.50%,"$8,900"
2019,,4.50%,"$13,400"
2019,,5.00%,"$22,200"
2019,,6.90%,"$37,200"
2019,,,
2019,Calif.,1.00%,$0
2019,"(a, e, r, s, ff, hh)",2.00%,"$8,544"
2019,,4.00%,"$20,255"
2019,,6.00%,"$31,969"
2019,,8.00%,"$44,377"
2019,,9.30%,"$56,085"
2019,,10.30%,"$286,492"
2019,,11.30%,"$343,788"
2019,,12.30%,"$572,980"
2019,,13.30%,"$1,000,000"
2019,,,
2019,Colo.,4.63%,$0
2019,,,
2019,Conn.,3.00%,$0
2019,"(t, u, bb)",5.00%,"$10,000"
2019,,5.50%,"$50,000"
2019,,6.00%,"$100,000"
2019,,6.50%,"$200,000"
2019,,6.90%,"$250,000"
2019,,6.99%,"$500,000"
2019,,,
2019,Del.,2.20%,"$2,000"
2019,"(r, v, gg, hh)",3.90%,"$5,000"
2019,,4.80%,"$10,000"
2019,,5.20%,"$20,000"
2019,,5.55%,"$25,000"
2019,,6.60%,"$60,000"
2019,,,
2019,Fla.,none,n.a.
2019,,,
2019,Ga.,1.00%,$0
2019,,2.00%,$750
2019,,3.00%,"$2,250"
2019,,4.00%,"$3,750"
2019,,5.00%,"$5,250"
2019,,5.75%,"$7,000"
2019,,,
2019,Hawaii,1.40%,$0
2019,"(w, hh)",3.20%,"$2,400"
2019,,5.50%,"$4,800"
2019,,6.40%,"$9,600"
2019,,6.80%,"$14,400"
2019,,7.20%,"$19,200"
2019,,7.60%,"$24,000"
2019,,7.90%,"$36,000"
2019,,8.25%,"$48,000"
2019,,9.00%,"$150,000"
2019,,10.00%,"$175,000"
2019,,11.00%,"$200,000"
2019,,,
2019,Idaho,1.13%,$0
2019,"(e, p, z)",3.13%,"$1,541"
2019,,3.63%,"$3,081"
2019,,4.63%,"$4,622"
2019,,5.63%,"$6,162"
2019,,6.63%,"$7,703"
2019,,6.93%,"$11,554"
2019,,,
2019,"Ill. (dd, hh)",4.95%,$0
2019,,,
2019,Ind.,3.23%,$0
2019,"(x, gg, hh)",,
2019,,,
2019,Iowa,0.33%,$0
2019,"(e, f, r, gg)",0.67%,"$1,638"
2019,,2.25%,"$3,276"
2019,,4.14%,"$6,552"
2019,,5.63%,"$14,742"
2019,,5.96%,"$24,570"
2019,,6.25%,"$32,760"
2019,,7.44%,"$49,140"
2019,,8.53%,"$73,710"
2019,,,
2019,Kans. (hh),3.10%,$0
2019,,5.25%,"$15,000"
2019,,5.70%,"$30,000"
2019,,,
2019,Ky.,5.00%,$0
2019,"(gg, ii)",,
2019,,,
2019,La.,2.00%,$0
2019,"(f, n)",4.00%,"$12,500"
2019,,6.00%,"$50,000"
2019,,,
2019,Maine,5.80%,$0
2019,"(e, p, i)",6.75%,"$21,850"
2019,,7.15%,"$51,700"
2019,,,
2019,Md.,2.00%,$0
2019,"(o, y, gg, hh)",3.00%,"$1,000"
2019,,4.00%,"$2,000"
2019,,4.75%,"$3,000"
2019,,5.00%,"$100,000"
2019,,5.25%,"$125,000"
2019,,5.50%,"$150,000"
2019,,5.75%,"$250,000"
2019,,,
2019,Mass.,5.05%,$0
2019,,,
2019,Mich. (gg),4.25%,$0
2019,,,
2019,Minn. (e),5.35%,$0
2019,,6.80%,"$26,520"
2019,,7.85%,"$87,110"
2019,,9.85%,"$161,720"
2019,,,
2019,Miss.,3.00%,"$2,000"
2019,,4.00%,"$5,000"
2019,,5.00%,"$10,000"
2019,,,
2019,Mo.,1.50%,$0
2019,"(e, f, p, gg, hh)",2.00%,"$1,053"
2019,,2.50%,"$2,106"
2019,,3.00%,"$3,159"
2019,,3.50%,"$4,212"
2019,,4.00%,"$5,265"
2019,,4.50%,"$6,318"
2019,,5.00%,"$7,371"
2019,,5.40%,"$8,424"
2019,,,
2019,Mont.,1.00%,$0
2019,"(e, f, q)",2.00%,"$3,100"
2019,,3.00%,"$5,400"
2019,,4.00%,"$8,200"
2019,,5.00%,"$11,100"
2019,,6.00%,"$14,300"
2019,,6.90%,"$18,400"
2019,,,
2019,Nebr.,2.46%,$0
2019,"(e, r, hh)",3.51%,"$3,230"
2019,,5.01%,"$19,330"
2019,,6.84%,"$31,160"
2019,,,
2019,Nev.,none,n.a.
2019,,,
2019,N.H. (c),5.00%,$0
2019,,,
2019,N.J. (gg),1.40%,$0
2019,,1.75%,"$20,000"
2019,,3.50%,"$35,000"
2019,,5.53%,"$40,000"
2019,,6.37%,"$75,000"
2019,,8.97%,"$500,000"
2019,,10.75%,"$5,000,000"
2019,,,
2019,,,
2019,N.M.,1.70%,$0
2019,,3.20%,"$5,500"
2019,,4.70%,"$11,000"
2019,,4.90%,"$16,000"
2019,,,
2019,N.Y.,4.00%,$0
2019,"(bb, gg, hh)",4.50%,"$8,500"
2019,,5.25%,"$11,700"
2019,,5.90%,"$13,900"
2019,,6.21%,"$21,400"
2019,,6.49%,"$80,650"
2019,,6.85%,"$215,400"
2019,,8.82%,"$1,077,550"
2019,,,
2019,N.C.,5.25%,$0
2019,,,
2019,N.D.,1.10%,$0
2019,"(e, p, z)",2.04%,"$39,450"
2019,,2.27%,"$95,500"
2019,,2.64%,"$199,250"
2019,,2.90%,"$433,200"
2019,,,
2019,Ohio,2.85%,"$21,750"
2019,"(g, gg)",3.33%,"$43,450"
2019,,3.80%,"$86,900"
2019,,4.41%,"$108,700"
2019,,4.80%,"$217,400"
2019,,,
2019,Okla.,0.50%,$0
2019,(hh),1.00%,"$1,000"
2019,,2.00%,"$2,500"
2019,,3.00%,"$3,750"
2019,,4.00%,"$4,900"
2019,,5.00%,"$7,200"
2019,,,
2019,Ore.,5.00%,$0
2019,,7.00%,"$3,550"
2019,,9.00%,"$8,900"
2019,,9.90%,"$125,000"
2019,,,
2019,Pa. (gg),3.07%,$0
2019,,,
2019,R.I.,3.75%,$0
2019,"(e, k)",4.75%,"$64,050"
2019,,5.99%,"$145,600"
2019,,,
2019,S.C.,0.00%,$0
2019,"(e, p)",3.00%,"$3,070"
2019,,4.00%,"$6,150"
2019,,5.00%,"$9,230"
2019,,6.00%,"$12,310"
2019,,7.00%,"$15,400"
2019,,,
2019,S.D.,none,n.a.
2019,,,
2019,Tenn. (c),2.00%,$0
2019,,,
2019,Tex.,none,n.a.
2019,,,
2019,"Utah (r, j)",4.95%,$0
2019,,,
2019,Vt.,3.35%,$0
2019,"(e, p, ee)",6.60%,"$39,600"
2019,,7.60%,"$95,900"
2019,,8.75%,"$200,100"
2019,,,
2019,Va. (hh),2.00%,$0
2019,,3.00%,"$3,000"
2019,,5.00%,"$5,000"
2019,,5.75%,"$17,000"
2019,,,
2019,Wash.,none,n.a.
2019,,,
2019,W.Va. (hh),3.00%,$0
2019,,4.00%,"$10,000"
2019,,4.50%,"$25,000"
2019,,6.00%,"$40,000"
2019,,6.50%,"$60,000"
2019,,,
2019,Wis.,3.86%,$0
2019,"(e, m, hh)",5.04%,"$11,760"
2019,,6.27%,"$23,520"
2019,,7.65%,"$258,950"
2019,,,
2019,Wyo.,none,n.a.
2019,,,
2019,D.C.,4.00%,$0
2019,(p),6.00%,"$10,000"
2019,,6.50%,"$40,000"
2019,,8.50%,"$60,000"
2019,,8.75%,"$350,000"
2019,,8.95%,"$1,000,000"
2019,,,
2019,"(a) Bracket widths, personal exemption, and standard deductions amounts are 2018 tax information.",,
2019,"(b) For single taxpayers with AGI below $23,000, the standard deduction is $2,500. This standard deduction amount is reduced by $25 for every additional $500 of AGI, not to fall below $2,000. For Married Filing Joint taxpayers with AGI below $23,000, the standard deduction is $7,500. This standard deduction amount is reduced by $175 for every additional $500, not to fall below $4,000. For all taxpayers claiming a dependent with AGI of $20,000 or less, the dependent exemption is $1,000. This amount is reduced to $500 per dependent for taxpayers with AGI above $20,000 and equal to or less than $100,000. For taxpayers with over $100,000 AGI, the dependent exemption is $300 per dependent.",,
2019,(c) Applies to interest and dividend income only.,,
2019,"(d) Rates apply to individuals earning more than $79,300. Two special tax tables exist for low and middle income individuals. One for individuals below $22,000 in income, and one for those between $22,000 and $79,300.",,
2019,(e) Bracket levels adjusted for inflation each year. Release dates for tax bracket inflation adjustments vary by state and may fall after the end of the applicable tax year.,,
2019,(f) These states allow some or all of federal income tax paid to be deducted from state taxable income.,,
2019,"(g) Ohio's personal and dependent exemptions are $2,350 for an AGI of $40,000 or less, $2,100 if AGI is between $40,001 and $80,000, and $1,850 if AGI is $80,000 or above.",,
2018,Ala.,2.00%,$0
2018,"(b, f, gg)",4.00%,$500
2018,,5.00%,"$3,000"
2018,,,
2018,Alaska,none,none
2018,,,
2018,Ariz.,2.59%,$0
2018,"(a, e)",2.88%,"$10,346"
2018,,3.36%,"$25,861"
2018,,4.24%,"$51,721"
2018,,4.54%,"$155,159"
2018,,,
2018,Ark.,0.90%,$0
2018,"(a, d, e, bb)",2.50%,"$4,299"
2018,,3.50%,"$8,499"
2018,,4.50%,"$12,699"
2018,,6.00%,"$21,199"
2018,,6.90%,"$35,099"
2018,,,
2018,Calif.,1.00%,$0
2018,,2.00%,"$8,223"
2018,,3.00%,"$19,495"
2018,,4.00%,"$30,769"
2018,,8.00%,"$42,711"
2018,,9.30%,"$53,980"
2018,,10.30%,"$275,738"
2018,,11.30%,"$330,884"
2018,,12.30%,"$551,473"
2018,,13.30%,"$1,000,000"
2018,,,
2018,Colo.,4.63%,$0
2018,,,
2018,Conn.,3.00%,$0
2018,"(t, u)",5.00%,"$10,000"
2018,,5.50%,"$50,000"
2018,,6.00%,"$100,000"
2018,,6.50%,"$200,000"
2018,,6.90%,"$250,000"
2018,,6.99%,"$500,000"
2018,,,
2018,Del.,2.20%,"$2,000"
2018,"(f, r, v, gg, hh)",3.90%,"$5,000"
2018,,4.80%,"$10,000"
2018,,5.20%,"$20,000"
2018,,5.55%,"$25,000"
2018,,6.60%,"$60,000"
2018,,,
2018,Fla.,none,none
2018,,,
2018,Ga.,1.00%,$0
2018,,2.00%,$750
2018,,3.00%,"$2,250"
2018,,4.00%,"$3,750"
